id,name,ACTS_IN,title,role
10,Keanu Reeves,ACTS_IN,The Matrix,Neo
11,Carrie-Anne Moss,ACTS_IN,The Matrix,Trinity
12,Laurence Fishburne,ACTS_IN,The Matrix,Morpheus
13,Keanu Reeves,ACTS_IN,The Matrix Reloaded,Neo
14,Carrie-Anne Moss,ACTS_IN,The Matrix Reloaded,Trinity
15,Laurence Fishburne,ACTS_IN,The Matrix Reloaded,Morpheus
16,Keanu Reeves,ACTS_IN,The Matrix Revolutions,Neo
17,Carrie-Anne Moss,ACTS_IN,The Matrix Revolutions,Trinity
18,Laurence Fishburne,ACTS_IN,The Matrix Revolutions,Morpheus
19,Keanu Reeves,ACTS_IN,John Wick,John Wick
20,Michael Nyquist,ACTS_IN,John Wick,someDude
21,William Dafoe,ACTS_IN,John Wick,vigo
